iso_code,continent,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population
OWID_UMC,,Upper middle income,11/07/2021,1802216279.0,910412703.0,135271468.0,12369795.0,16933213.0,71.35,36.04,5.36,6704.0,9871125.0,0.391,2525921300
OWID_UMC,,Upper middle income,10/07/2021,1789952225.0,907747565.0,133672242.0,13369713.0,16959155.0,70.86,35.94,5.29,6714.0,9772713.0,0.387,2525921300
OWID_UMC,,Upper middle income,29/06/2021,1579456704.0,864902609.0,114909244.0,25080332.0,26977009.0,62.53,34.24,4.55,10680.0,9466892.0,0.375,2525921300
OWID_UMC,,Upper middle income,09/07/2021,1776731703.0,904537132.0,132184233.0,17608417.0,17439170.0,70.34,35.81,5.23,6904.0,9688588.0,0.384,2525921300
OWID_UMC,,Upper middle income,07/07/2021,1741511735.0,896340256.0,127806883.0,17777440.0,19562511.0,68.95,35.49,5.06,7745.0,9674670.0,0.383,2525921300
OWID_UMC,,Upper middle income,06/07/2021,1723908778.0,891703045.0,125403742.0,20619193.0,20671405.0,68.25,35.3,4.96,8184.0,9678198.0,0.383,2525921300
OWID_UMC,,Upper middle income,05/07/2021,1703980433.0,886916897.0,123613066.0,18492029.0,21308714.0,67.46,35.11,4.89,8436.0,9579816.0,0.379,2525921300
OWID_UMC,,Upper middle income,04/07/2021,1684095599.0,881929119.0,121902942.0,12551403.0,22388187.0,66.67,34.92,4.83,8863.0,9574608.0,0.379,2525921300
OWID_UMC,,Upper middle income,03/07/2021,1671621918.0,879989196.0,121122668.0,16729789.0,23936227.0,66.18,34.84,4.8,9476.0,9564464.0,0.379,2525921300
OWID_UMC,,Upper middle income,02/07/2021,1655058285.0,877517936.0,119921210.0,25296761.0,25156197.0,65.52,34.74,4.75,9959.0,9585805.0,0.379,2525921300
